,from,to
892,Dylan T X Zhou,Dylan T X Zhou
893,Dyna Optics Ltd A PLC,Dyna Optics Ltd A Plc
894,Dynabook Inc,Dynabook Inc
895,E Ink California LLC,E Ink California Llc
896,E Ink Corp,E Ink Corp
897, E Vision LLC,E Vision Llc
898,E Vision LLC,E Vision Llc
899, E Vision Smart Optics Inc,E Vision Smart Optics Inc
900,E Vision Smart Optics Inc,E Vision Smart Optics Inc
901,イー−ビジョン スマート オプティックス， インク．,"E -vision Smart Optics, Ink."
902,イー−ビジョン スマート オプティックス， インク．Ｅ−Ｖｉｓｉｏｎ Ｓｍａｒｔ Ｏｐｔｉｃｓ， Ｉｎｃ．,"E -vision Smart Optics, Ink.e -vision Smart Opttics, Inc."
903, Eamex Corp,Eamex Corp.
904,イーメックス株式会社,Eamex Corp.
905,Eamex Co,Eamex Corp.
906,Eamex Corp,Eamex Corp.
907,(주)이더블유비엠,"Earbble Ubm Co., Ltd."
908, EarLens Corp,Earlens Corp
909,Earlens Corp,Earlens Corp
910,EarLens Corp,Earlens Corp
911,Earlens Corporation,Earlens Corporation
912,이어렌즈 코포레이션,Earls Coopo
913,East China Jiaotong University,East China Ziavutong University
914,Eastman Chemical Co,Eastman Chemical Co
915,Eastman Kodak Co,Eastman Kodak Co
916,イーストマン コダック カンパニー,Eastman Kodak Company
917,Eastman Kodak Company,Eastman Kodak Company
918,Kantatsu Co Ltd,Easy Tatsu
919,Chih Wei Lin,Eat A Good Taste
920,eBay Inc,Ebay Inc
921,エシロール アンテルナシオナル （コンパニー ジェネラレ ドプテイク）,Ecilor Anter Nacional (company General Doptake)
922,エシロール アンテルナシオナル （コンパニー ジェネラル ドプティック）,Ecilor Athelnacional (company General Dop Tick)
923,주식회사 에덴룩스,"Eden Lux Co., Ltd."
924,Edward Brandel,Edward Brandel
925,Edward Chow,Edward Chow
926,Edward Greenberg,Edward Greenberg
927,Edward Robert English,Edward Robert English
928,Edwin H Land,Edwin H Land
929,Edwin Maria Wolterink,Edwin Maria Wolterink
930,Efraim Goldenberg,Efraim Goldenberg
931,Mor Elad,Elalad
932,Elbit Systems Ltd,Elbit Systems Ltd
933,Elbit Systems Ltd.,Elbit Systems Ltd.
934,Elbit Systems of America LLC,Elbit Systems Of America Llc
935,Funai Electric Co Ltd,Electric Fun
936,Funai Electric Co Ltd ,Electric Fun
937, Electric Power Research Institute of State Grid Hubei Electric Power Co Ltd,Electric Power Research Institute Of State Grid Hubei Electric Power Co Ltd
938,Electronics and Telecommunications Research Institute ETRI,Electronics And Telecommunications Research Institute Etri
939,エルジー イノテック カンパニー リミテッド,Elge Inotech Company Limited
940,Elie Khoury,Elie Khoury
941,Ellwood Sutherland Cook,Ellwood Sutherland Cook
942,Elmos Semiconductor Se,Elmos Semiconductor Se
943,Elo Touch Solutions Inc,Elo Touch Solutions Inc
944,"Eloupes, Inc.","Eloupes, Inc."
945,エルジー ディスプレイ カンパニー リミテッド,Else Display Company Limited
946,エルジー・ケム・リミテッド,Elsei Chem Limited
947,エルシー−テック ディスプレイズ アーベー,Elsie -tech Displays Arbe
948,エルシー−テック ディスプレイズ アーベーＬｃ−Ｔｅｃ Ｄｉｓｐｌａｙｓ Ａｂ,Elsie -tech Displays Arve Lc -tec Displays Ab
949,Embedtek LLC,Embedtek Llc
950,Emily Yoshino,Emily Yoshino
951,Eminent Electronic Tech Corp,Eminent Electronic Tech Corp
952,Emory University,Emory University
953,Empire Technology Development LLC,Empire Technology Development Llc
954, EMS Technologies Canada Ltd,Ems Technologies Canada Ltd
955,EMS Technologies Canada Ltd,Ems Technologies Canada Ltd
956,EMT AG,Emt Ag
957,EndoChoice Inc,Endochoice Inc
958,"Endochoice, Inc.",Endochoice Inc
959,Endress and Hauser SE and Co KG,Endress And Hauser Se And Co Kg
960, Enforcement Video LLC ,Enforcement Video Llc
961,ENFORCEMENT VIDEO LP D/B/A WATCHGUARDVIDEO ,Enforcement Video Lp D/b/a Watchguardvideo
962,ENFORCEMENT VIDEO LP D/B/A/ WATCHGUARD VIDEO ,Enforcement Video Lp D/b/a/ Watchguard Video
963,"Enforcement Video, Llc","Enforcement Video, Llc"
964,Engle; Craig D.,Engle; Craig D.
965,EyeYon Medical Ltd,Engon Medical Ltd
966,"Ensco, Inc.","Ensco, Inc."
967,Enspectra Health Inc,Enspectra Health Inc
968,Ensurge Micropower ASA,Ensurge Micropower Asa
969,ENTERPRISE PARTNERS VI LP ,Enterprise Partners Vi Lp
970,Envisics Ltd,Envisics Ltd
971,Eon Reality Inc,Eon Reality Inc
972,EOS Defense Systems USA Inc,Eos Defense Systems Usa Inc
973,Eotech LLC,Eotech Llc
974,Ep Global Communications Inc,Ep Global Communications Inc
975,Epigem Ltd,Epigem Ltd
976, Epson Corp,Epson Corp
977,Equinox Corp,Equinox Corp
978,Taiji Sasaki,Eradication Sasaki
979,Eric Feremans,Eric Feremans
980,Eric Koenig,Eric Koenig
981,Erik C Scher,Erik C Shear
982,Erik Scher,Erik Scher
983,Ernst Leitz Wetzlar GmbH ,Ernst Leitz Wetzlar Gmbh
984,Ervin Goldfain,Ervin Goldfain
985,Ervin Golfain,Ervin Goldfain
986,エスアイオーツー・メディカル・プロダクツ・インコーポレイテッド,Es Aeoto Medical Products Incorporated
987,エサイン インコーポレーテッド,Esain Incorporated
988,ESCALON IP HOLDINGS Inc,Escalon Ip Holdings Inc
989,Esign Inc,Esign Inc
990, Esignx Corp,Esignx Body
991,Esperance Francis A L,Esperance Francis A L
992, ESS Technologies International Inc,Ess Technologies International Inc
993,Essential Products Inc,Essential Products Inc
994,"Essential Products, Inc.","Essential Products, Inc."
995,Essilor International,Essilor International
996,Essilor International (Compagnie Generale D'optique),Essilor International (optical General Company)
997,EssilorLuxottica SA,Essilorluaxottica Sa
998, EssilorLuxottica SA,Essylormotic Sa
999,エスゼット ディージェイアイ テクノロジー カンパニー リミテッド,Eszette Dejei Ai Technology Company Limited
1000,Eth Zuerich Eth Transfer,Eth Zuerich Eth Transfer
1001,Ether Precision Inc,Ether Precision Inc
1002,Etienne Menard,Etienne Menard
1003,ETV CAPITAL SA ,Etv Capital In
1004,Euroimmun Medizinische Labordiagnostika AG,Euroimmun Medical Labord Diagnostics Ag
1005,Evermore Applied Materials Corp,Evermore Applied Materials Corp
1006,"E-Vision, Llc","E-vision, Llc"
1007,EVOSENS,Evosens
1008,Evosens,Evosens
1009,Ewha University-Industry Collaboration Foundation,Ewha University-industry Collaboration Foundation
1010,이화여자대학교 산학협력단,Ewha Womans University Industry -academic Cooperation Group
1011,Exelis Inc,Exel Inc
1012,Exelixis Inc,Exelixis Inc
1013,Exfo Inc,Exfo Inc
1014,Explay Ltd,Explay Ltd
1015,Extreme Networks Inc,Extreme Networks Inc
1016,ExxonMobil Chemical Patents Inc,Exxonmobil Chemical Patents Inc
1017,Eyedeal Hongkong Ltd,Eyedeal Hongkong Ltd
1018,EyeLight Inc,Eyelight Inc
1019,EyeLock Inc,Eyelock Inc
1020,EyeLock LLC,Eyelock Llc
1021, Eyeon Medical Ltd,Eyeon Medical Ltd
1022,EyeQue Inc.,EyeQue Inc.
1023,Eyetrac LLC,Eyetrac Llc
1024,Eyeway Vision Ltd,Eyeway Vision Ltd
1025,Eyeway Vision Ltd.,Eyeway Vision Ltd.
1026, eYs3D Microelectronics Co,Eys3d Microelectronics Co
1027,eYs3D Microelectronics Co,Eys3d Microelectronics Co
1028,Facebook Technologies LLC,Facebook Technologies Llc
1029,"Facebook Technologies, Llc",Facebook Technologies Llc
1030,Physik Instr Pi & Co KG GmbH ,Facial Castard P & Co Kag Gambh
1031, Factual Vr Inc,Factual Vr Inc
1032,Factualvr Inc,Factualvr Inc
1033,Factualvr Inc ,Factualvr Inc
1034, Fairfield Imaging Ltd ,Fairfield Imaging Ltd
1035,Faezeh Sarfarazi,Faizhe Sarfarazi
1036,Falk R Aaron,Falk R Aaron
1037,Ming Jiang,Famous General
1038,Faro Technologies Inc,Faro Technologies Inc
1039,Faron Pharmaceuticals Oy,Faron Pharmaceuticals Oy
1040,Leistad Geirr I,Fathed Leded I
1041,Fathom Optics Inc,Fathom Optics Inc
1042,Faurecia Clarion Electronics Co Ltd,Faurecia Clarion Electronics Co Ltd
1043,Faurecia Interior Systems Inc,Faurecia Interior Systems Inc
1044,FBS CARD SERVICES Inc ,Fbs Card Services Inc
1045,Feaster Fred T,Feaster Fred T
1046,Federal Express Corp,Federal Express Corp
1047,"федеральное государственное автономное образовательное учреждение высшего образования ""Санкт-Петербургский политехнический университет Петра Великого"" (ФГАОУ ВО ""СПбПУ"")","Federal State Autonomous Educational Institution Of Higher Education ""st. Petersburg Polytechnic University Of Peter The Great"" (fgaou In ""spbpu"")"
1048,"Forsight Labs, Llc","Fedight Labs, Llc"
1049,Felix D Karim,Felix D Karim
1050,Femtonics Kft,Femtonics Kft
1051,Fergason Patent Properties LLC,Fergason Patent Properties Llc
1052,Ferry Gunawan,Ferry Gunawan
1053,フィガロ技研株式会社,"Figaro Giken Co., Ltd."
1054,FillFactory NV ,Fillfactory Nv
1055,IQE KC LLC,Filling In Kc Llc
1056,Fine Data Kk,Fine Data Kk
1057,Meta Co ,Finish What
1058,Shoichi Ishihara,First Position Ishihara
1059,Yugang Sun,Fish Tank
1060,Fitbit Inc,Fitbit Inc
1061,Fove Inc,Fitch Inc
1062, FiveFocal LLC,Fivefocal Llc
1063,FlashScan3D LLC,Flashscan3d Llc
1064,"Flextronics Ap, Llc","Flextronics Ap, Llc"
1065,FlightSafety International,Flightsafety International
1066,FlightSafety International Inc,Flightsafety International Inc
1067,Flir Systems AB,Flir Systems Ab
1068,Flir Systems Trading Belgium BVBA,Flir Systems Trading Belgium Bvba
1069,Floyd Johnnie E,Floyd Johnnie E
1070,Floyd; Johnnie E.,Floyd; Johnnie E.
1071,Fluke Corp,Fluke Corp
1072,"Focure, Inc.","Focure, Inc."
1073,Ford Global Technologies LLC,Ford Global Technologies Llc
1074,ForSight Labs LLC,Forsight Labs Llc
1075,Forsight Labs Llc,Forsight Labs Llc
1076,フォーサイト・ビジョン６・インコーポレイテッド,Forsight Vision 6 / Incorporated
1077, ForSight Vision3 Inc,Forsight Vision3 Inc
1078,ForSight Vision6 Inc,Forsight Vision6 Inc
1079,Foshan Connie Vision Technology Co Ltd,Foshan Connie Vision Technology Co Ltd
1080,Foshan Dile Vision Technology Co ltd,Fotion Dell Vicion Tachinology
1081,Fotonation Cayman Limited,Fotonation Cayman Limited
1082, Fotonation Cayman Ltd,Fotonation Cayman Ltd
1083, Fotonation Cayman Ltd ,Fotonation Cayman Ltd
1084,Fotonation Cayman Ltd,Fotonation Cayman Ltd
1085, Fotonation Ltd,Fotonation Ltd
1086,Fotonation Ltd,Fotonation Ltd
1087,Fotonation Ltd ,Fotonation Ltd
1088,재단법인 실감교류인체감응솔루션연구단,Foundation Active Affections Human Response Solutions Research
1089,財団法人エヌエイチケイエンジニアリングサービス,Foundation Nueichikei Engineering Service
1090,フォーサイト・ラブス・リミテッド・ライアビリティ・カンパニー,Foursight Labs Limited Liability Company
1091,フォーサイト・ラブス・リミテッド・ライアビリティ・カンパニーＦｏｒＳｉｇｈｔ Ｌａｂｓ， ＬＬＣ,"Foursight Labs Limited Liability Company Forsight Labs, Llc"
1092,フォーサイト・ビジョン６・インコーポレイテッドＦｏｒｓｉｇｈｔ Ｖｉｓｉｏｎ６， Ｉｎｃ．,"Foursight Vision 6, Incorporated Forsight Vision6, Inc."
1093,Foveon Inc,Foveon Inc
1094,Frank Lowe,Frank Lowe
1095,Fraunhofer Gesellschaft zur Forderung der Angewandten Forschung eV ,Fraunhofer Gesellschaft To The Demand Of Applied Research Ev
1096,Fraunhofer Gesellschaft zur Forderung der Angewandten Forschung eV,Fraunhofer Society For The Demand Of Applied Research Ev
1097,弗勞恩霍夫爾協會,Fraunhov Association
1098,Frederic E Ives,Frederic E Ives
1099,Universite Libre de Bruxelles ULB,Free University Of Brussels Ulb
1100, Fresnel Optics GmbH,Fresnel Optics Gmbh
1101,Frontier Vision Co Ltd,Frontier Vision Co Ltd
1102,株式会社Ｆｒｏｎｔｉｅｒ Ｖｉｓｉｏｎ,"Frontier Vision Co., Ltd."
1103,Frost Tech LLC ,Frost Tech Llc
1104,Fuji Corp,Fuji Corp
1105,Fuji Electric Co Ltd,Fuji Electric Co Ltd
1106,富士電機デバイステクノロジー株式会社,Fuji Electric Devial Steak Corporation
1107,富士機械製造株式会社,"Fuji Machinery Manufacturing Co., Ltd."
1108,富士写真フイルム株式会社,Fuji Photo Film Co Ltd
1109,Fuji Photo Film Co Ltd,Fuji Photo Film Co Ltd
1110,富士写真光機株式会社,"Fuji Photo Kokoro Co., Ltd."
1111,Fuji Photo Optical Co Ltd,Fuji Photo Optical Co Ltd
1112,Fuji Xerox Co Ltd,Fuji Xerox Co Ltd
1113,富士ゼロックス株式会社,"Fuji Xerox Co., Ltd"
1114,"Fujian Fulan optics Co., Ltd","Fujian Fulan Optics Co., Ltd"
1115,Fujifilm Business Innovation Corp,Fujifilm Business Innovation Corp
1116,富士フイルム株式会社,"Fujifilm Co., Ltd."
1117, Fujifilm Corp,Fujifilm Corp
1118,富士フイルムホールディングス株式会社,Fujifilm Corp
1119,Fujifilm Corp,Fujifilm Corp
1120,Fujifilm Holdings Corp,Fujifilm Corp
1121,Fujifilm Healthcare Corp,Fujifilm Healthcare Corp
1122, Fujifilm Holdings Corp ,Fujifilm Holdings Corp
1123,Fujifilm Holdings Corp ,Fujifilm Holdings Corp
1124,株式会社フジクラ,"Fujikura Co., Ltd."
1125,Fujikura Ltd,Fujikura Ltd
1126,フジノン株式会社,"Fujinon Co., Ltd."
1127,Fujinon Corp,Fujinon Corp
1128,Fujinon Corp ,Fujinon Corp
1129,富士通株式会社,"Fujitsu Co., Ltd."
1130,富士通コンポーネント株式会社,"Fujitsu Component Co., Ltd."
1131,Fujitsu Component Ltd,Fujitsu Component Ltd
1132,Fujitsu General Ltd,Fujitsu General Ltd
1133,후지쯔 가부시끼가이샤,Fujitsu Kabu Shibu Kaisha
1134,Fujitsu Ltd,Fujitsu Ltd
1135,Fukuoka Institute Of Tech ,Fukuoka Institute Of Tech
1136, Fukuoka Institute of Technology,Fukuoka Institute Of Technology
1137,フマーンオプティクス アクチェンゲゼルシャフト,Fuman Optics Acchaenge Shaft
1138,船井電機株式会社,"Funai Electric Co., Ltd."
1139,Furness Thomas Adrian,Furness Thomas Adrian
1140,FutureWei Technologies Inc,Futurewei Technologies Inc
1141,Fyusion Inc,Fyusion Inc
1142,Gacell Laboratories AB ,Gacell Laboratories Ab
1143,Galib Samuel H,Galib Samuel H
1144,Galin Miles A,Galin Miles A
1145,"Galstian, Tigran","Galstian, Tigran"
1146,Garabet; Antoine L.,Garabet;antoine L.
1147,Garth T. Webb,Garth T. Webb
1148,Gary Greenberg,Gary Greenberg
1149,加特·T·韦布,Gat T. Webbu
1150,Gateway Inc,Gateway Inc
1151,Gauss Surgical Inc,Gauss Surgical Inc
1152,GAUZY Ltd,Gauzy Ltd
1153, GE Superabrasives Inc,Ge Superabrasives Inc
1154,GE Video Compression LLC,Ge Video Compression Llc
1155,Gearbox LLC,Gearbox Llc
1156,Gemfire Corp,Gemfire Corp
1157,GENE READER LLC,Gene Reader Llc
1158,Genemind Biosciences Co Ltd,Genemind Biosciences Co Ltd
1159,General Electric Co,General Electric Co
1160,General Electric Co ,General Electric Co
1161,General Electric Co <Ge>,General Electric Co <ge>
1162,ゼネラル・エレクトリック・カンパニイ,General Electric Company
1163,General Electric Company,General Electric Company
1164,General Hospital Corp,General Hospital Corp
1165,General Imaging Corp,General Imaging Corp
1166, General Interface Solution Ltd,General Interface Solution Ltd
1167,Genex Technologies Inc,Genex Technologies Inc
1168,Genius Electronic Optical Co,Genius Electronic Optical Co
1169,Genius Electronic Optical Xiamen Co Ltd,Genius Electronic Optical Xiamen Co Ltd
1170,元気 渡邊,Genki Watanabe
1171,Gentex Corporation,Gentex Corporation
1172,GEO ACQUISITION CORP ,Geo Acquisition Corp
1173,Geo Semiconductor Inc,Geo Semiconductor Inc
1174,Geoffrey Alan Ozin,Geoffrey Alan Ozin
1175,George Pontis,George Bridge
1176,GEORGE GABEL & CONNERS IMAGING SYSTEMS Inc ,George Gabel & Conners Imaging Systems Inc
1177,George Mataban Calm,George Killed Calm
1178,George M. CALM,George M. Calm
1179,George Seaver,George Seaver
1180,Georgia Tech Research Corp,Georgia Tech Research Corp
1181,Gerald Horn,Gerald Horn
1182,Deutsche Thomson oHG,German Thomson Ohg
1183,GF Messtechnik GmbH,Gf Messtechnik Gmbh
1184,Gholam A. Peyman,Gholam A. Peyman
1185,GI View Ltd,Gi View Ltd
1186,技研トラステム株式会社,"Giken Trustem Co., Ltd."
1187,Gilbert Pinter,Gilbert Pinter
1188,Gillette Co LLC,Gillette Co Llc
1189,Girling Kelly Design Group Dba Artefact LLC ,Girling Kelly Design Group Dba Artefact Llc
1190,GIRVAN INSTITUTE OF TECHNOLOGY,Girvan Institute Of Technology
1191,Given Imaging Ltd,Given Imaging Ltd
1192,GKSS Forshungszentrum Geesthacht GmbH,Gkss Forshungszentrum Geesthacht Gmbh
1193,Glen A. Norris,Glen A. Norris
1194,Global OLED Technology LLC,Global OLED Technology LLC
1195,"Global Rainmakers, Inc.","Global Rainmakers, Inc."
1196,GlobalFoundries Inc,Globalfoundries Inc
1197,GlobalFoundries US Inc,Globalfoundries Us Inc
1198,Glomerocryst Semiconductor Ltd Co,Glomerocryst Semiconductor Ltd Co
1199,Glomerocryst Semiconductor Ltd Co ,Glomerocryst Semiconductor Ltd Co
1200,GM Global Technology Operations LLC,Gm Global Technology Operations Llc
1201,Vibrosonic GmbH,Gmbh Emission
1202,GN Audio AS,GN Audio AS
1203,주식회사 고영테크놀러지,"Go Young Technology Co., Ltd."
1204,Koziol; Jeffery,Goat;effer
1205,Goertek Inc,Goertek Inc
1206,Goertek Optical Technology Co Ltd,Goertek Optical Technology Co Ltd
1207,Goertek Techology Co Ltd,Goertek Techology Co Ltd
1208,Gold Charm Ltd,Gold Charm Ltd
1209,金子 卓,Golden
1210,Iichiro Inoue,Good Tiro Inoue
1211,Goodrich Corp,Goodrich Corp
1212,Google Inc.,Google Inc.
1213,구글 엘엘씨,Google Ll
1214, Google LLC,Google Llc
1215,Google Llc,Google Llc
1216,Google LLC,Google Llc
1217,Google LLC ,Google Llc
1218,Google Technology Holdings LLC,Google Technology Holdings Llc
1219,GoPro Inc,Gopro Inc
1220,Gordon S W Craig,Gordon S W Craig
1221,Gotenna Inc,Gotenna Inc
1222,goTenna Inc,Gotenna Inc
1223,Grant Alastair John,Grant Alastair John
1224,"Grant, Alastair John","Grant, Alastair John"
1225,"GRANT, Alastair, John","Grant, Alastair, John"
1226,"Gravity Jack, Inc.","Gravity Jack, Inc."
1227,Takashi Tsuchiya,Gray House
1228,Gree Electric Appliances Inc of Zhuhai,Gree Electric Appliances Inc Of Zhuhai
1229,Greenberg Boris,Greenberg Boris
1230,Gregory D Plowman,Gregory D Plowman
1231,Gregory V Nelson,Gregory V Nelson
1232,Grendahl Dennis T,Grendahl Dennis T
1233,GREYHOUND FINANCIAL CAPITAL Corp,Greyhound Financial Capital Corp
1234,Grp Lighting Co Ltd,Grp Lighting Co Ltd
1235,光寶科技股份有限公司,"Guangbao Technology Co., Ltd."
1236,廣達電腦股份有限公司,"Guangda Computer Co., Ltd."
1237,广东欧珀移动通信有限公司,Oppo
1238,Guangdong Oppo Mobile Telecommunications Corp Ltd,Oppo
1239,Guangdong Oppo Mobile Telecommunications Corp Ltd ,Oppo
1240,"Guangdong Oppo Mobile Telecommunications Corp., Ltd.",Oppo
1241,Guangzhou Delta Imaging Technology Co Ltd,Guangzhou Delta Imaging Technology Co Ltd
1242,Guangzhou Qiliang Information Technology Co ltd,Guangzhou Desolate Information Technology
1243,Guangzhou Haoyang Electronic Co Ltd,Guangzhou Good Electronic
1244,Guangzhou Institute of Advanced Technology of CAS,Guangzhou Institute Of Advanced Technology Of Cas
1245,Guangzhou Luxvisions Innovation Technology Ltd,Guangzhou Luxvisions Innovation Technology Ltd
1246,Guangzhou Vanguard Plastic & Hardware Factory,Guangzhou Vanguard Plastic & Hardware Factory
1247,Gholam-Reza Zadno-Azizi,Guhlami-resa Rear-azizi
1248,Guillon Michel,Guillon Michel
1249,Gula Consulting LLC,Gula Consulting Llc
1250,Gunasekaran R A,Gunasekaran R A
1251,구창영,Gunsu Young
1252, Gwangju Institute of Science and Technology,Gwangju Institute Of Science And Technology
1253,Gwangju Institute of Science and Technology ,Gwangju Institute Of Science And Technology
1254,광주광역시도시철도공사,Gwangju Metropolitan City City Railway Corporation
1255,Ha Tran,Ha Tra
1256, Hoya Corp,Hall -carp
1257, Hoya Corp ,Hall -carp
1258,Hoya Corp,Hall -carp
1259,Halliburton Energy Services Inc,Halliburton Energy Services Inc
1260,浜松ホトニクス株式会社,"Hamamatsu Hotonics Co., Ltd."
1261,Hamamatsu Photonics Kk,Hamamatsu Photonics Kk
1262,한명숙,Han Myung -sook
1263, Hand Held Products Inc,Hand Held Products Inc
1264,ハンド ヘルド プロダクツ インコーポレーティッド,Hand Held Products Inc
1265,Hand Held Products Inc,Hand Held Products Inc
1266,Hand Held Products Inc ,Hand Held Products Inc
1267,"Hand Held Products, Inc.",Hand Held Products Inc
1268,帅先梅,Handsome
1269, Hanger Solutions LLC,Hanger Solutions Llc
1270,Hanger Solutions LLC,Hanger Solutions Llc
1271,Hangzhou Dianzi University,Hangzhou Electronic University
1272,Hangzhou Hikvision Digital Technology Co Ltd,Hangzhou Hikvision Digital Technology Co Ltd
1273,Hangzhou Liai Intelligent Technology Co Ltd,Hangzhou Liai Intelligent Technology Co Ltd
1274,Hangzhou Light Grain Technology Co Ltd,Hangzhou Light Grain Technology Co Ltd
1275,Hangzhou Qing Qu Science And Technology Ltd,Hangzhou Qing Qu Science And Technology Ltd
1276,Hans-Georg Boehm,Hans-georg Boehm
1277,Hanwha Techwin Co Ltd,Hanwha Techwin
1278,한화테크윈 주식회사,"Hanwha Techwin Co., Ltd."
1279,한양대학교 산학협력단,Hanyang University Industry -academic Cooperation Group
1280,Harbin Institute of Technology,Harbin Institute Of Technology
1281,HARIVEL JOEL,Hariel Joel
1282, Harman International Japan Co Ltd,Harman International Japan Co Ltd
1283,Harris Corp,Harris Corp
1284,Harry C. Eggleston,Harry C. Eggleston
1285,HARVARD APPARATUS REGENERATIVE TECHNOLOGY Inc ,Harvard Apparatus Regenerative Technology Inc
1286,Harvard College,Harvard College
1287,Havens William H,Havens William H
1288,Havens William H.,Havens William H
1289,HAYS JAMES ALLAN dba JIM HAYS CONSTRUCTION AND CONSULTING ,Hays James Allan Dba Jim Hays Construction And Consulting
1290,Elenza Inc,He Makes The Inc
1291,"Elenza, Inc.","He Makes, Inc."
1292,HEALTHCARE ROYALTY PARTNERS II LP ,Healthcare Royalty Partners Ii Lp
1293,Creal SA,Healthy Creal
1294,Heartware Inc,Heartware Inc
1295,Cielo Este S.L,Heaven S.l
1296,Hebei College of Industry and Technology,Hebei College Of Industry And Technology
1297,HEFEI AIKE PHOTOELECTRIC TECHNOLOGY Co Ltd,Hefei Aike Photoelectric Technology Co Ltd
1298, Hefei BOE Optoelectronics Technology Co Ltd,Hefei Boe Optoelectronics Technology Co Ltd
1299,"Hefei Lianchuang Optical Co.,Ltd.","Hefei Lianchuang Optical Co., Ltd."
1300,Hefei Ocean Electronic Technology Co Ltd,Hefei Ocean Electronic Technology Co Ltd
1301,"Hefei Shiya Technology Co.,Ltd.","Hefei Shiya Technology Co.,ltd."
1302,Hefei University of Technology,Hefei University Of Technology
1303, Hefei Xinsheng Optoelectronics Technology Co Ltd,Hefei Xinsheng Optoelectronics Technology Co Ltd
1304,Helen Francis-Lang,Helen Francis-lang
1305,HELLA GmbH & Co. KGaA,Hella Gmbh & Co. Kgaa
1306,Helmut Dörner,Helmut Dörner
1307,Henan Normal University,Henan Normal University
1308,Henan University of Science and Technology,Henan University Of Science And Technology
1309,HENDRIK GERRITSEN ,Hendrik Gerritsen
1310,Henkel Loctite Corp,Henkel Loctite Corp
1311,HENRY H MCDONALD 82% ,Henry H Mcdonald 82%
1312,ヘンリー・エム・イスラエル,Henry M Israel
1313,Henry M Israel,Henry M Israel
1314,Heptagon Micro Optics Pte Ltd,Heptagon Micro Optics Pte Ltd
1315,Heptagon Micro Optics Pte. Ltd.,Heptagon Micro Optics Pte. Ltd.
1316,HANNA KHALIL PROF DR,Here Khalil Brove Der
1317,Hewlett Packard Development Co LP,Hewlett Packard Development Co Lp
1318,Hewlett Packard Enterprise Development LP,Hewlett Packard Enterprise Development Lp
1319,"Hewlett-Packard Development Company, L.P.","Hewlett-packard Development Company, L.p."
1320,合盈光電科技股份有限公司,"Heying Optoelectronics Technology Co., Ltd."
1321,Yin S. Tang,Hidden. Tang
1322, High Performance Marketing,High Performance Marketing
1323,High Performance Optics Inc,High Performance Optics Inc
1324, Yuki Kougaku Co Ltd,High Snow
1325,Hilti AG,Hilti At
1326,Himax Imaging Ltd,Himax Imaging Ltd
1327,Himax Media Solutions Inc,Himax Media Solutions Inc
1328,Himax Tech Ltd,Himax Tech Ltd
1329, Himax Technologies Ltd,Himax Technologies Ltd
1330,Himax Technologies Ltd,Himax Technologies Ltd
1331,Hiok-Nam Tay,Hiok-nam Tay
1332,Hirox Co Ltd,Hirox Co Ltd
1333,Hans Gude Gudesen,His God Gudesen
1334,주식회사 하이소닉,"His Sonic Co., Ltd."
1335,Hisense Group Co Ltd,Hisense Group Co Ltd
1336,Hisense Mobile Communications Technology Co Ltd,Hisense Mobile Communications Technology Co Ltd
1337,Hitachi Astemo Ltd,Hitachi Astemo Ltd
1338,日立オートモティブシステムズ株式会社,"Hitachi Auto Motive Systems Co., Ltd."
1339,株式会社日立製作所,"Hitachi Co., Ltd."
1340,Hitachi Computer Electron Co Ltd,Hitachi Computer Electron Co Ltd
1341,株式会社日立コンピュータエレクトロニクス,"Hitachi Computer Electronics Co., Ltd."
1342,Hitachi Consumer Electronics Co Ltd,Hitachi Consumer Electronics Co Ltd
1343,日立コンシューマエレクトロニクス株式会社,"Hitachi Consumer Electronics Co., Ltd."
1344,株式会社 日立ディスプレイズ,"Hitachi Displays Co., Ltd."
1345,Hitachi Displays Ltd,Hitachi Displays Ltd
1346,Hitachi Denshi Ltd,Hitachi Electronic Ltd
1347,Hitachi Denshi KK ,Hitachi Electronics K
1348,株式会社日立エルジーデータストレージ,"Hitachi Else Dattle Storage Co., Ltd."
1349,株式会社日立ハイテクノロジーズ,"Hitachi High Technologies Co., Ltd."
1350,株式会社日立画像情報システム,"Hitachi Image Information System Co., Ltd."
1351,Hitachi Industry and Control Solutions Co Ltd,Hitachi Industry And Control Solutions Co Ltd
1352, Hitachi Ltd,Hitachi Ltd
1353,Hitachi Ltd,Hitachi Ltd
1354,日立マクセル株式会社,"Hitachi Maxel Co., Ltd."
1355,Hitachi Maxell Ltd,Hitachi Maxell Ltd
1356,株式会社日立メディコ,"Hitachi Medico Co., Ltd."
1357,Hitachi Plant Technologies Ltd,Hitachi Plant Technologies Ltd
1358,株式会社日立プラントテクノロジー,"Hitachi Plant Technology Co., Ltd."
1359,株式会社 日立産業制御ソリューションズ,"Hitachi Sangyo Control Solutions Co., Ltd."
1360,Hitachi-Lg Data Storage Inc,Hitachi-lg Data Storage Inc
1361,Hitachi Gazo Joho Syst:Kk,Hitacho Joho Syst: Tsu K
1362,"Hitchcock, Roger, N.","Hitchcock, Roger, N."
1363,Osram Oled GmbH,Hold The Worshiper
1364,Holochip Corp,Holochip Corp
1365,Holochip Corporation,Holochip Corporation
1366,Hologic Inc,Hologic Inc
1367,Holovisions ,Holovisions
