,from,to
1186,技研トラステム株式会社,"Giken Trustem Co., Ltd."
1187,Gilbert Pinter,Gilbert Pinter
1188,Gillette Co LLC,Gillette Co Llc
1189,Girling Kelly Design Group Dba Artefact LLC ,Girling Kelly Design Group Dba Artefact Llc
1190,GIRVAN INSTITUTE OF TECHNOLOGY,Girvan Institute Of Technology
1191,Given Imaging Ltd,Given Imaging Ltd
1192,GKSS Forshungszentrum Geesthacht GmbH,Gkss Forshungszentrum Geesthacht Gmbh
1193,Glen A. Norris,Glen A. Norris
1194,Global OLED Technology LLC,Global OLED Technology LLC
1195,"Global Rainmakers, Inc.","Global Rainmakers, Inc."
1196,GlobalFoundries Inc,Globalfoundries Inc
1197,GlobalFoundries US Inc,Globalfoundries Us Inc
1198,Glomerocryst Semiconductor Ltd Co,Glomerocryst Semiconductor Ltd Co
1199,Glomerocryst Semiconductor Ltd Co ,Glomerocryst Semiconductor Ltd Co
1200,GM Global Technology Operations LLC,Gm Global Technology Operations Llc
1201,Vibrosonic GmbH,Gmbh Emission
1202,GN Audio AS,GN Audio AS
1203,주식회사 고영테크놀러지,"Go Young Technology Co., Ltd."
1204,Koziol; Jeffery,Goat;effer
1205,Goertek Inc,Goertek Inc
1206,Goertek Optical Technology Co Ltd,Goertek Optical Technology Co Ltd
1207,Goertek Techology Co Ltd,Goertek Techology Co Ltd
1208,Gold Charm Ltd,Gold Charm Ltd
1209,金子 卓,Golden
1210,Iichiro Inoue,Good Tiro Inoue
1211,Goodrich Corp,Goodrich Corp
1212,Google Inc.,Google Inc.
1213,구글 엘엘씨,Google Ll
1214, Google LLC,Google Llc
1215,Google Llc,Google Llc
1216,Google LLC,Google Llc
1217,Google LLC ,Google Llc
1218,Google Technology Holdings LLC,Google Technology Holdings Llc
1219,GoPro Inc,Gopro Inc
1220,Gordon S W Craig,Gordon S W Craig
1221,Gotenna Inc,Gotenna Inc
1222,goTenna Inc,Gotenna Inc
1223,Grant Alastair John,Grant Alastair John
1224,"Grant, Alastair John","Grant, Alastair John"
1225,"GRANT, Alastair, John","Grant, Alastair, John"
1226,"Gravity Jack, Inc.","Gravity Jack, Inc."
1227,Takashi Tsuchiya,Gray House
1228,Gree Electric Appliances Inc of Zhuhai,Gree Electric Appliances Inc Of Zhuhai
1229,Greenberg Boris,Greenberg Boris
1230,Gregory D Plowman,Gregory D Plowman
1231,Gregory V Nelson,Gregory V Nelson
1232,Grendahl Dennis T,Grendahl Dennis T
1233,GREYHOUND FINANCIAL CAPITAL Corp,Greyhound Financial Capital Corp
1234,Grp Lighting Co Ltd,Grp Lighting Co Ltd
1235,光寶科技股份有限公司,"Guangbao Technology Co., Ltd."
1236,廣達電腦股份有限公司,"Guangda Computer Co., Ltd."
1237,广东欧珀移动通信有限公司,Oppo
1238,Guangdong Oppo Mobile Telecommunications Corp Ltd,Oppo
1239,Guangdong Oppo Mobile Telecommunications Corp Ltd ,Oppo
1240,"Guangdong Oppo Mobile Telecommunications Corp., Ltd.",Oppo
1241,Guangzhou Delta Imaging Technology Co Ltd,Guangzhou Delta Imaging Technology Co Ltd
1242,Guangzhou Qiliang Information Technology Co ltd,Guangzhou Desolate Information Technology
1243,Guangzhou Haoyang Electronic Co Ltd,Guangzhou Good Electronic
1244,Guangzhou Institute of Advanced Technology of CAS,Guangzhou Institute Of Advanced Technology Of Cas
1245,Guangzhou Luxvisions Innovation Technology Ltd,Guangzhou Luxvisions Innovation Technology Ltd
1246,Guangzhou Vanguard Plastic & Hardware Factory,Guangzhou Vanguard Plastic & Hardware Factory
1247,Gholam-Reza Zadno-Azizi,Guhlami-resa Rear-azizi
1248,Guillon Michel,Guillon Michel
1249,Gula Consulting LLC,Gula Consulting Llc
1250,Gunasekaran R A,Gunasekaran R A
1251,구창영,Gunsu Young
1252, Gwangju Institute of Science and Technology,Gwangju Institute Of Science And Technology
1253,Gwangju Institute of Science and Technology ,Gwangju Institute Of Science And Technology
1254,광주광역시도시철도공사,Gwangju Metropolitan City City Railway Corporation
1255,Ha Tran,Ha Tra
1256, Hoya Corp,Hall -carp
1257, Hoya Corp ,Hall -carp
1258,Hoya Corp,Hall -carp
1259,Halliburton Energy Services Inc,Halliburton Energy Services Inc
1260,浜松ホトニクス株式会社,"Hamamatsu Hotonics Co., Ltd."
1261,Hamamatsu Photonics Kk,Hamamatsu Photonics Kk
1262,한명숙,Han Myung -sook
1263, Hand Held Products Inc,Hand Held Products Inc
1264,ハンド ヘルド プロダクツ インコーポレーティッド,Hand Held Products Inc
1265,Hand Held Products Inc,Hand Held Products Inc
1266,Hand Held Products Inc ,Hand Held Products Inc
1267,"Hand Held Products, Inc.",Hand Held Products Inc
1268,帅先梅,Handsome
1269, Hanger Solutions LLC,Hanger Solutions Llc
1270,Hanger Solutions LLC,Hanger Solutions Llc
1271,Hangzhou Dianzi University,Hangzhou Electronic University
1272,Hangzhou Hikvision Digital Technology Co Ltd,Hangzhou Hikvision Digital Technology Co Ltd
1273,Hangzhou Liai Intelligent Technology Co Ltd,Hangzhou Liai Intelligent Technology Co Ltd
1274,Hangzhou Light Grain Technology Co Ltd,Hangzhou Light Grain Technology Co Ltd
1275,Hangzhou Qing Qu Science And Technology Ltd,Hangzhou Qing Qu Science And Technology Ltd
1276,Hans-Georg Boehm,Hans-georg Boehm
1277,Hanwha Techwin Co Ltd,Hanwha Techwin
1278,한화테크윈 주식회사,"Hanwha Techwin Co., Ltd."
1279,한양대학교 산학협력단,Hanyang University Industry -academic Cooperation Group
1280,Harbin Institute of Technology,Harbin Institute Of Technology
1281,HARIVEL JOEL,Hariel Joel
1282, Harman International Japan Co Ltd,Harman International Japan Co Ltd
1283,Harris Corp,Harris Corp
1284,Harry C. Eggleston,Harry C. Eggleston
1285,HARVARD APPARATUS REGENERATIVE TECHNOLOGY Inc ,Harvard Apparatus Regenerative Technology Inc
1286,Harvard College,Harvard College
1287,Havens William H,Havens William H
1288,Havens William H.,Havens William H
1289,HAYS JAMES ALLAN dba JIM HAYS CONSTRUCTION AND CONSULTING ,Hays James Allan Dba Jim Hays Construction And Consulting
1290,Elenza Inc,He Makes The Inc
1291,"Elenza, Inc.","He Makes, Inc."
1292,HEALTHCARE ROYALTY PARTNERS II LP ,Healthcare Royalty Partners Ii Lp
1293,Creal SA,Healthy Creal
1294,Heartware Inc,Heartware Inc
1295,Cielo Este S.L,Heaven S.l
1296,Hebei College of Industry and Technology,Hebei College Of Industry And Technology
1297,HEFEI AIKE PHOTOELECTRIC TECHNOLOGY Co Ltd,Hefei Aike Photoelectric Technology Co Ltd
1298, Hefei BOE Optoelectronics Technology Co Ltd,Hefei Boe Optoelectronics Technology Co Ltd
1299,"Hefei Lianchuang Optical Co.,Ltd.","Hefei Lianchuang Optical Co., Ltd."
1300,Hefei Ocean Electronic Technology Co Ltd,Hefei Ocean Electronic Technology Co Ltd
1301,"Hefei Shiya Technology Co.,Ltd.","Hefei Shiya Technology Co.,ltd."
1302,Hefei University of Technology,Hefei University Of Technology
1303, Hefei Xinsheng Optoelectronics Technology Co Ltd,Hefei Xinsheng Optoelectronics Technology Co Ltd
1304,Helen Francis-Lang,Helen Francis-lang
1305,HELLA GmbH & Co. KGaA,Hella Gmbh & Co. Kgaa
1306,Helmut Dörner,Helmut Dörner
1307,Henan Normal University,Henan Normal University
1308,Henan University of Science and Technology,Henan University Of Science And Technology
1309,HENDRIK GERRITSEN ,Hendrik Gerritsen
1310,Henkel Loctite Corp,Henkel Loctite Corp
1311,HENRY H MCDONALD 82% ,Henry H Mcdonald 82%
1312,ヘンリー・エム・イスラエル,Henry M Israel
1313,Henry M Israel,Henry M Israel
1314,Heptagon Micro Optics Pte Ltd,Heptagon Micro Optics Pte Ltd
1315,Heptagon Micro Optics Pte. Ltd.,Heptagon Micro Optics Pte. Ltd.
1316,HANNA KHALIL PROF DR,Here Khalil Brove Der
1317,Hewlett Packard Development Co LP,Hewlett Packard Development Co Lp
1318,Hewlett Packard Enterprise Development LP,Hewlett Packard Enterprise Development Lp
1319,"Hewlett-Packard Development Company, L.P.","Hewlett-packard Development Company, L.p."
1320,合盈光電科技股份有限公司,"Heying Optoelectronics Technology Co., Ltd."
1321,Yin S. Tang,Hidden. Tang
1322, High Performance Marketing,High Performance Marketing
1323,High Performance Optics Inc,High Performance Optics Inc
1324, Yuki Kougaku Co Ltd,High Snow
1325,Hilti AG,Hilti At
1326,Himax Imaging Ltd,Himax Imaging Ltd
1327,Himax Media Solutions Inc,Himax Media Solutions Inc
1328,Himax Tech Ltd,Himax Tech Ltd
1329, Himax Technologies Ltd,Himax Technologies Ltd
1330,Himax Technologies Ltd,Himax Technologies Ltd
1331,Hiok-Nam Tay,Hiok-nam Tay
1332,Hirox Co Ltd,Hirox Co Ltd
1333,Hans Gude Gudesen,His God Gudesen
1334,주식회사 하이소닉,"His Sonic Co., Ltd."
1335,Hisense Group Co Ltd,Hisense Group Co Ltd
1336,Hisense Mobile Communications Technology Co Ltd,Hisense Mobile Communications Technology Co Ltd
1337,Hitachi Astemo Ltd,Hitachi Astemo Ltd
1338,日立オートモティブシステムズ株式会社,"Hitachi Auto Motive Systems Co., Ltd."
1339,株式会社日立製作所,"Hitachi Co., Ltd."
1340,Hitachi Computer Electron Co Ltd,Hitachi Computer Electron Co Ltd
1341,株式会社日立コンピュータエレクトロニクス,"Hitachi Computer Electronics Co., Ltd."
1342,Hitachi Consumer Electronics Co Ltd,Hitachi Consumer Electronics Co Ltd
1343,日立コンシューマエレクトロニクス株式会社,"Hitachi Consumer Electronics Co., Ltd."
1344,株式会社 日立ディスプレイズ,"Hitachi Displays Co., Ltd."
1345,Hitachi Displays Ltd,Hitachi Displays Ltd
1346,Hitachi Denshi Ltd,Hitachi Electronic Ltd
1347,Hitachi Denshi KK ,Hitachi Electronics K
1348,株式会社日立エルジーデータストレージ,"Hitachi Else Dattle Storage Co., Ltd."
1349,株式会社日立ハイテクノロジーズ,"Hitachi High Technologies Co., Ltd."
1350,株式会社日立画像情報システム,"Hitachi Image Information System Co., Ltd."
1351,Hitachi Industry and Control Solutions Co Ltd,Hitachi Industry And Control Solutions Co Ltd
1352, Hitachi Ltd,Hitachi Ltd
1353,Hitachi Ltd,Hitachi Ltd
1354,日立マクセル株式会社,"Hitachi Maxel Co., Ltd."
1355,Hitachi Maxell Ltd,Hitachi Maxell Ltd
1356,株式会社日立メディコ,"Hitachi Medico Co., Ltd."
1357,Hitachi Plant Technologies Ltd,Hitachi Plant Technologies Ltd
1358,株式会社日立プラントテクノロジー,"Hitachi Plant Technology Co., Ltd."
1359,株式会社 日立産業制御ソリューションズ,"Hitachi Sangyo Control Solutions Co., Ltd."
1360,Hitachi-Lg Data Storage Inc,Hitachi-lg Data Storage Inc
1361,Hitachi Gazo Joho Syst:Kk,Hitacho Joho Syst: Tsu K
1362,"Hitchcock, Roger, N.","Hitchcock, Roger, N."
1363,Osram Oled GmbH,Hold The Worshiper
1364,Holochip Corp,Holochip Corp
1365,Holochip Corporation,Holochip Corporation
1366,Hologic Inc,Hologic Inc
1367,Holovisions ,Holovisions
1368, Holovisions LLC,Holovisions Llc
1369,Holovisions LLC,Holovisions Llc
1370,Holt Allan,Holt Allan
1371,鴻海精密工業股份有限公司,"Hon Hai Precision Industry Co., Ltd."
1372,Honda Motor Co Ltd,Honda Motor
1373,Honda Motor Co Ltd ,Honda Motor
1374,本田技研工業株式会社,Honda Motor Industry Stock Company
1375,Hon Hai Prec Ind Co Ltd,Honda Press End
1376,Honigsbaum Richard F,Honeybaum Richard F
1377,Honeywell Inc,Honeywell Inc
1378,Honeywell International Inc,Honeywell International Inc
1379,Honeywell International Inc ,Honeywell International Inc
1380,Honeywell International Inc.,Honeywell International Inc
1381,Honeywell Safety Products USA Inc,Honeywell Safety Products Usa Inc
1382,Hong Kong Applied Science and Technology Research Institute ASTRI,Hong Kong Applied Science And Technology Research Institute Astri
1383,香港商立景創新有限公司,"Hong Kong Business Landscape Innovation Co., Ltd."
1384,Hong Kong Univ Of Science & Technology,Hong Kong Univ Of Science & Technology
1385,香港科技大学,Hong Kong University Of Science And Technology
1386,Hong Kong University of Science and Technology HKUST,Hong Kong University Of Science And Technology Hkust
1387, Hongfujin Precision Industry Shenzhen Co Ltd,Hongfujin Precision Industry Shenzhen Co Ltd
1388, Hongfujin Precision Industry Shenzhen Co Ltd ,Hongfujin Precision Industry Shenzhen Co Ltd
1389,Hongfujin Precision Industry Shenzhen Co Ltd ,Hongfujin Precision Industry Shenzhen Co Ltd
1390,Honor Device Co Ltd,Honor Device Co Ltd
1391,Keigo Iizuka,Honorifics Iizuka
1392,Keigo Izuka,Honorifics Izuka
1393,Horiba Jobin Yvon Inc,Horiva Jobin Y Von Member C
1394,ホロチップ コーポレイション,Horochip Corporation
1395,Nankai University,How Many Times Ve R
1396,Howard John G.,Howard John G.
1397,Howell Electronics Technology (shanghai) Co Ltd,Howell Electronics Technology (shanghai) Co Ltd
1398,ホーヤ株式会社,"Hoya Co., Ltd."
1399,Ｈｏｙａ株式会社,"Hoya Co., Ltd."
1400,Hoya Healthcare Corp,Hoya Healthcare Corp
1401,Hoyt Architecture Lab Inc,Hoyt Architecture Lab Inc
1402,HP Inc,Hp Inc
1403,HPO ASSETS LLC,Hpo Assets Llc
1404,HPO ASSETS LLC ,Hpo Assets Llc
1405,HRL Laboratories LLC,Hrl Laboratories Llc
1406,Hsin Yi Foundation,Hsin Yi Foundation
1407,HTC Corp,HTC Corp
1408,Huaian Imaging Device Manufacturer Corp,Huaian Imaging Device Manufacturer Corp
1409,黄素真,Huang Suzhen
1410,黄晓艳,Huang Xiaoyan
1411,Huaqin Telecom Technology Co Ltd,Huaqin Telecom Technology Co Ltd
1412,Huawei Device Shenzhen Co Ltd,Huawei Device Shenzhen
1413,华为技术有限公司,Huawei Technologies Co Ltd
1414,Huawei Technologies Co Ltd,Huawei Technologies Co Ltd
1415,"Huawei Technologies Co., Ltd.",Huawei Technologies Co Ltd
1416,华为终端有限公司,"Huawei Terminal Co., Ltd."
1417,華晶科技股份有限公司,"Huaying Technology Co., Ltd."
1418,Huazhong University of Science and Technology,Huazhong University Of Science And Technology
1419,Hugh Daniels,Hugh Daniels
1420,Huizhou TCL Mobile Communication Co Ltd,Huizhou Tcl Mobile Communication Co Ltd
1421,HumanOptics AG,Humanoptics Ag
1422,Humanoptics Ag,Humanoptics Ag
1423,Hunan Kingcome Optoelectronics Co ltd,Hunan Kingcome Optoelectronics Co Ltd
1424,Hunan University,Hunan University
1425,Hunan University of Arts and Science,Hunan University Of Arts And Science
1426,Hung-Chun Lin,Hung-chun Lin
1427,Hung-Wei Chen,Hung-white
1428,Hunter Vivian L,Hunter Vivian L
1429,Huron Technologies International Inc,Huron Technologies International Inc
1430,Hutchinson Technology Inc,Hutchinson Technology Inc
1431, Hymedix International Inc,Hymedix International Inc
1432,Hyper Reality Partners LLC,Hyper Reality Partners Llc
1433,Hyper Reality Partners LLC ,Hyper Reality Partners Llc
1434,"Hyperloop Transportation Technologies, Inc.","Hyperloop Transportation Technologies, Inc."
1435,"Hysonic.Co., Ltd.","Hysonic.co., Ltd."
1436,현동원,Hyun Dong -won
1437,최현환,Hyun -hwan Choi
1438,Hyundai Motor Co ,Hyundai Motor Co
1439,현대오트론 주식회사,"Hyundai Otron Co., Ltd."
1440,AMO Puerto Rico Inc,I Love Puerto Rico Inc
1441,IA Labs CA LLC,Ia Labs Ca Llc
1442,Ian A. Bruce,Ian A. Bruce
1443, IAN-FRESE RICHARD ,Ian-frese Richard
1444,イビデン株式会社,Ibiden
1445,Ibiden Co Ltd,Ibiden
1446,Kazutora Yoshino,Ichitora Yoshino
1447,Iconix Video Inc,Iconix Video Inc
1448,アイコス・ビジョン・システムズ・ナムローゼ・フェンノートシャップ,Icos Vision Systems Namrose Fennote Shap
1449,Icos Vision Systems Nv,Icos Vision Systems Nv
1450,Ideal Industries Lighting LLC,Ideal Industries Lighting Llc
1451, IFG Cure Holdings LLC,Ifg Cure Holdings Llc
1452,Ifgcure LLC ,Ifgcure Llc
1453,Ignis Display As,Ignis Display As
1454,IGT Global Solutions Corp,Igt Global Solutions Corp
1455,"ILILNOIS, University of, Trustees of ","Ililnois, University Of, Trustees Of"
1456,Alpao SAS,I'm Alp
1457,Bende Thomas K.,I'm Thomas K.
1458,Image Masters Inc,Image Masters Inc
1459,(주)이미지스테크놀로지,Image Starken Road
1460,Imagination Technologies Ltd,Imagination Technologies Ltd
1461,Imax Corp,Imax Corp
1462,IMINT IMAGE INTELLIGENCE AB,Imint Image Intelligence Ab
1463,Immersion Corp,Immersion Corp
1464,Imotion Pictures Inc,Imotion Pictures Inc
1465,IMRA America Inc,Imra America Inc
1466,In View Technology Corp ,In View Technology Corp
1467,Tessera Inc,Inc Incose
1468,Nexis Vision Inc,Inc. Vision Inc.
1469,Invendo Medical GmbH ,Incenting Medical Gmbh
1470,Incept LLC,Incept Llc
1471,Ind Tech Res Inst,Ind Tech Res Inst
1472,独立行政法人産業技術総合研究所,Independent Administrative Institute For Industrial Technology
1473,独立行政法人情報通信研究機構,Independent Administrative Legal Person Intelligence And Communication Research Institution
1474,独立行政法人科学技術振興機構,Independent Administrative Legal Person Science And Technology Revitalization Agency
1475,Indian Institute Of Technology Kanpur,Indian Institute Of Technology Kanpur
1476, INDIANA RES AND Tech CORP,Indiana Res And Tech Corp
1477,Indiana University Research and Technology Corp,Indiana University Research And Technology Corp
1478,Indiana University Research and Technology Corp ,Indiana University Research And Technology Corp
1479,Indiana University Research And Technology Corporation,Indiana University Research And Technology Corporation
1480,Aizo Yamauchi,Indigo -dye
1481,Industrial Research Institute ,Industrial Research Institute
1482, Industrial Technology Institute,Industrial Technology Institute
1483,Industrial Technology Research Institute,Industrial Technology Research Institute
1484, Industrial Technology Research Institute ITRI,Industrial Technology Research Institute Itri
1485,Industrial Technology Research Institute ITRI,Industrial Technology Research Institute Itri
1486,Industrial Technology Research Institute ITRI ,Industrial Technology Research Institute Itri
1487, Industry Academic Cooperation Foundation of Ajou University,Industry Academic Cooperation Foundation Of Ajou University
1488,Industry Academic Cooperation Foundation of Chung Ang University,Industry Academic Cooperation Foundation Of Chung Ang University
1489, Industry Academic Cooperation Foundation of Yonsei University,Industry Academic Cooperation Foundation Of Yonsei University
1490,Industry Academic Cooperation Foundation of Yonsei University,Industry Academic Cooperation Foundation Of Yonsei University
1491,Infilect Technologies Private Limited,Infilect Technologies Private Limited
1492,Infineon Technologies AG,Infineon Technologies Ag
1493,주식회사 인피닉,"Infinic Co., Ltd."
1494,INFINITY PHOTO-OPTICAL Co,Infinity Photo-optical Co
1495, Infocus Corp,Infocus Corp
1496,Ingredion Inc,Ingredion Inc
1497,인하대학교 산학협력단,Inha University Industry -academic Cooperation Group
1498,Chengping Wei,Inheritance
1499,Inlife Handnet Co Ltd,Inlife Handnet Co Ltd
1500,Inner Vision Imaging LLC,Inner Vision Imaging Llc
1501, Innfocus Inc,Innfocus Inc
1502,Innolene LLC,Innolene Llc
1503,Innolene LLC ,Innolene Llc
1504,Innolux Corp ,Innolux Corp
1505,Innovaplant Zierpflanzen GmbH and Co KG ,Innovaplant Ornamental Plants Gmbh And Co Kg
1506,Innovative Nano Systems Pte. Ltd.,Innovative Nano Systems Pte. Ltd.
1507,Innovega Inc,Inn's Inc
1508,イン エス． タン,Ins.tan
1509,インセプト エルエルシー,Insept Elelcy
1510,インセプト・リミテッド・ライアビリティ・カンパニー,Insept Limited Liability Company
1511,インセプト・リミテッド・ライアビリティ・カンパニーＩｎｃｅｐｔ，Ｌｌｃ,"Insept Limited Liability Company Incept, Llc"
1512,インスティトゥート フィア ノイエ マテリアーリエン ゲマインニュッツィゲ ゲゼルシャフト ミット ベシュレンクタ ハフトゥンク,Instate Tout Fearnoya Materialien Gemin Nutsigi Gezel Shaft Mitt Vesh Renta Hufffun
1513, Institut National dOptique,Institut National Doptique
1514,Institut National dOptique,Institut National Doptique
1515,Institute for Information Industry,Institute For Information Industry
1516,Institute of Electronic Engineering of CAEP,Institute Of Electronic Engineering Of Caep
1517,Institute of Optics and Electronics of CAS,Institute Of Optics And Electronics Of Cas
1518,Institute of Semiconductors of CAS,Institute Of Semiconductors Of Cas
1519,INSYTE MEDICAL TECHNOLOGIES Inc,Insyte Medical Technologies Inc
1520, INTEGRAL LASER SOLUTIONS LLC,Integral Laser Solutions Llc
1521, Intel Benelux BV,Intel Benelux Bv
1522, Intel Corp,Intel Corp
1523,Intel Corp ,Intel Corp
1524,인텔 코포레이션,Intel Corp.
1525,Intel Corp,Intel Corp.
1526,インテル・コーポレーション,Intel Corporation
1527,Intel Corporation,Intel Corporation
1528,Intellectual Discovery Co Ltd,Intellectual Discovery Co Ltd
1529,Intellectual Ventures Fund 83 LLC,Intellectual Ventures Fund 83 Llc
1530,Intellectual Ventures I LLC,Intellectual Ventures I Llc
1531,Intellectual Ventures II LLC,Intellectual Ventures Ii Llc
1532,Intelligent Automation LLC,Intelligent Automation Llc
1533,Intelligent Technologies International Inc,Intelligent Technologies International Inc
1534,英特盛科技股份有限公司,"Intelson Technology Co., Ltd."
1535, InterDigital CE Patent Holdings SAS,Interdigital Ce Patent Holdings Sas
1536,InterDigital CE Patent Holdings SAS,Interdigital Ce Patent Holdings Sas
1537,"Interdigital Ce Patent Holdings, Sas","Interdigital Ce Patent Holdings, Sas"
1538, InterDigital Madison Patent Holdings SAS,Interdigital Madison Patent Holdings Sas
1539,InterDigital Madison Patent Holdings SAS,Interdigital Madison Patent Holdings Sas
1540, InterDigital VC Holdings Inc,Interdigital Vc Holdings Inc
1541,Interface Optoelectronics Shenzhen Co Ltd ,Interface Optoelectronics Shenzhen Co Ltd
1542, Interface Technology Chengdu Co Ltd ,Interface Technology Chengdu Co Ltd
1543,INTERFLO TECHNOLOGIES Inc ,Interflo Technologies Inc
1544, Intermec IP Corp,Intermec Ip Corp
1545,Intermec IP Corp,Intermec Ip Corp
1546, Intermec Technologies Corp,Intermec Technologies Corp
1547,Intermec Technologies Corp,Intermec Technologies Corp
1548,Intermec Technologies Corp ,Intermec Technologies Corp
1549, International Business Machines Corp,International Business Machines Corp
1550,International Business Machines Corp,International Business Machines Corp
1551,International Business Machines Corp ,International Business Machines Corp
1552,InterScience Inc,Interscience Inc
1553, Interuniversitair Microelektronica Centrum vzw IMEC,Interuniversity Microelectronics Center Vzw Imec
1554, Interuniversitair Microelektronica Centrum vzw IMEC ,Interuniversity Microelectronics Center Vzw Imec
1555,Interuniversitair Microelektronica Centrum vzw IMEC,Interuniversity Microelectronics Center Vzw Imec
1556,Intezyne Technologies Inc,Intezyne Technologies Inc
1557,Intuitive Surgical Operations Inc,Intuitive Surgical Operations Inc
1558,"Intuitive Surgical Operations, Inc.","Intuitive Surgical Operations, Inc."
1559,Inuitive Ltd,Inuitive Ltd
1560,Inuitive Ltd.,Inuitive Ltd.
1561,Invantis Inc ,Invantis Inc
1562,Invenios France Limited,Invenios France Sas
1563,Invenios France Sas,Invenios France Sas
1564, Invenios LLC,Invenios LLC
1565,Invensas Corp,Invensas Corp.
1566,Invention Science Fund I LLC,Invention Science Fund I Llc
1567, InView Tech Corp,Inview Tech Corp
1568,InVisage Technologies Inc,Invisage Technologies Inc
1569,Iocurrents Inc,Iocurrents Inc
1570,Iolab Corp,Iolab Corp
1571,Ioltechnologie Production SARL,Ioltechnology Production Sarl
1572,Tobii AB,Ion Ab
1573,Ion Geophysical Corp,Ion Geophysical Corp
1574,Ioptex Inc,Ioptex Inc
1575,INERMEC IP CORP ,Ip Body Inermec
1576,Ip2ipo Innovations Ltd,Ip2ipo Innovations Ltd
1577,Ip2ipo Innovations Ltd ,Ip2ipo Innovations Ltd
1578,Ip3 2020 Series 500 Of Allied Security Trust I,Ip3 2020 Series 500 Of Allied Security Trust I
1579,Ireland Co ,Ireland Co
1580,Iris GmbH IG Infrared and Intelligent Sensors,Iris Gmbh Ig Infrared And Intelligent Sensors
1581,Shimadzu Corp,Island D Figure Powder Rp
1582,Ismedia Co Ltd,Ismedia
1583,以色列商魯姆斯有限公司,"Israel Merchants Co., Ltd."
1584,Niios-Usa Inc.,Issu-usaessa Inc.
1585, Fondazione Istituto Italiano di Tecnologia,Italian Institute Foundation Of Technology
1586, Ivantis Inc,Ivantis Inc
1587,Ivantis Inc,Ivantis Inc
1588,"Ivantis, Inc.","Ivantis, Inc."
1589,Ivex Corp ,Ivex Corp
1590,아이웨이 비전 엘티디.,Iway Vision Lidy.
1591,J AND J TECHNOLOGIES Ltd,J And J Technologies Ltd
1592,J Tec:Kk,J Tec:kk
1593,J Wallace Parce,J Wallace Because
1594,J·斯图尔特·卡明,J. Stewart Carmin
1595,Jabil Inc,Jabil Inc
1596,ジャック ドゥパレ，,"Jackdopare,"
1597,Chengrui Optics Changzhou Co Ltd,Jackie Chan Optics Changzhou
1598,Jackie Chen,Jackie Chen
1599,Jacob Catt,Jacob Catt
1600,Jacques Duparre,Jacques Duparre
1601,James Andrew Aman,James Andrew Aman
1602,James Gates,James Gates
1603,Jangung Park,Jangung Park
1604,日本放送協会,Japan Broadcasting Association
1605,Japan Broadcasting Corp,Japan Broadcasting Corp
1606,Japan Display Central Inc,Japan Display Central Inc
1607,株式会社ジャパンディスプレイ,"Japan Display Co., Ltd."
1608,Japan Display Inc,Japan Display Inc
1609,日本メクトロン株式会社,Japan Mector Corporation
1610,Japan Microsystems Co Ltd,Japan Microsystems Co Ltd
1611,Japan Science & Technology Corp,Japan Science & Technology Corp
1612,Japan Science and Technology Agency,Japan Science And Technology Agency
1613,Japan Steel Works Ltd:The,Japan Steel Works Ltd:the
1614,日本テキサス・インスツルメンツ株式会社,"Japan Texas Instruments Co., Ltd."
1615,Nippon Zeon Co Ltd,Japan Zeon
1616,日本ゼオン株式会社,"Japan Zeon Co., Ltd."
1617,Nippondenso Co Ltd,Japanese Field
1618,Nippon Hoso Kyokai <Nhk>,Japanese Fine Giant <n Hk>
1619,株式会社ジェイテック,"Jay Tech Co., Ltd."
1620,Jean Benedikt,Jean Benedikt
1621,Jeffery A Whiteford,Jeffery A Whiteford
1622,Jena Optronik GmbH,Jena Optronic Gambh
1623,Jenkins Jeffrey Edward,Jenkins Jeffrey Edward
1624, Jenoptik AG,Jenoptic Ag
1625,Jenoptik AG,Jenoptik Ag
1626,Jenoptik Optical Systems GmbH,Jenoptik Optical Systems Gmbh
1627,전북대학교산학협력단,Jeonbuk University College Of Education
1628,Jeremy Brodersen,Jeremy Brodersen.
1629,Jerry L. Conway,Jerry L. Conway
1630,Ji Fang,Ji Fang
1631,Jimin Yao,Ji Minyao
1632,Jiangsu Datong Electronic Technology Co Ltd Crown,Jiangsu Datong Electronic Technology Co Ltd Crown
1633,JIANGSU KALUOKA INTERNATIONAL CARTOON & COMIC Co Ltd,Jiangsu Kaluruka International Cartoon & Comic
1634,Jiangxi Holitech Technology Co Ltd,Jiangxi Holitech Technology Co Ltd
1635,Jiangxi Jingchao Optical Co Ltd,Jiangxi Jingchao Optical Co Ltd
1636,Jiangxi Jinghao Optical Co Ltd,Jiangxi Jingchao Optical Co Ltd
1637,Jiangxi Jinghao Optics Co ltd,Jiangxi Jingchao Optical Co Ltd
1638,"Jiangxi Jinghao optics Co.,Ltd.",Jiangxi Jingchao Optical Co Ltd
1639,JIANGXI LATTICEPOWER SEMICONDUCTOR Corp.,Jiangxi Latticepower Semiconductor Corp.
1640,Jiangxi Lianyi Optics Co Ltd,Jiangxi Lianyi Optics
1641,"Jiangxi Long Rui Technology Co.,Ltd.","Jiangxi Long Rui Technology Co.,ltd."
1642,Jiangxi Oumaisi Microelectronics Co Ltd,Jiangxi Omeis Microelectronics
1643,"Jiangxi Shengtai precision optics Co., Ltd","Jiangxi Shengtai Precision Optics Co., Ltd"
